,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,Hour,Time
225,2013,2,6,619,600,19,855,815,40,FL,345,N972AT,LGA,ATL,121,762,6,0,2/6/13 6:00,6,M
226,2013,2,6,655,659,-4,950,938,12,DL,1547,N649DL,LGA,ATL,110,762,6,59,2/6/13 6:00,6,M
268,2013,2,7,549,600,-11,820,815,5,FL,345,N896AT,LGA,ATL,129,762,6,0,2/7/13 6:00,6,M
269,2013,2,7,555,600,-5,837,837,0,DL,461,N3753,LGA,ATL,127,762,6,0,2/7/13 6:00,6,M
270,2013,2,7,555,600,-5,912,825,47,MQ,4650,N534MQ,LGA,ATL,130,762,6,0,2/7/13 6:00,6,M
271,2013,2,7,611,615,-4,902,842,20,DL,575,N340NB,EWR,ATL,127,746,6,15,2/7/13 6:00,6,M
272,2013,2,7,612,615,-3,902,855,7,9E,3856,N176PQ,JFK,ATL,130,760,6,15,2/7/13 6:00,6,M
273,2013,2,7,657,659,-2,940,938,2,DL,1547,N695DL,LGA,ATL,124,762,6,59,2/7/13 6:00,6,M
316,2013,2,8,557,600,-3,810,815,-5,FL,345,N895AT,LGA,ATL,113,762,6,0,2/8/13 6:00,6,M
317,2013,2,8,559,600,-1,822,837,-15,DL,461,N3758Y,LGA,ATL,115,762,6,0,2/8/13 6:00,6,M
318,2013,2,8,610,615,-5,823,842,-19,DL,575,N368NB,EWR,ATL,112,746,6,15,2/8/13 6:00,6,M
319,2013,2,8,619,615,4,915,855,20,9E,3856,N170PQ,JFK,ATL,113,760,6,15,2/8/13 6:00,6,M
320,2013,2,8,658,659,-1,1002,938,24,DL,1547,N645DL,LGA,ATL,116,762,6,59,2/8/13 6:00,6,M
360,2013,2,8,NA,600,NA,NA,825,NA,MQ,4650,N507MQ,LGA,ATL,NA,762,6,0,2/8/13 6:00,6,M
386,2013,2,9,NA,600,NA,NA,815,NA,FL,345,N945AT,LGA,ATL,NA,762,6,0,2/9/13 6:00,6,M
389,2013,2,9,NA,615,NA,NA,855,NA,9E,3856,NA,JFK,ATL,NA,760,6,15,2/9/13 6:00,6,M
391,2013,2,9,NA,600,NA,NA,837,NA,DL,461,N676DL,LGA,ATL,NA,762,6,0,2/9/13 6:00,6,M
393,2013,2,9,NA,615,NA,NA,842,NA,DL,575,N355NB,EWR,ATL,NA,746,6,15,2/9/13 6:00,6,M
399,2013,2,10,558,600,-2,810,815,-5,FL,345,N990AT,LGA,ATL,111,762,6,0,2/10/13 6:00,6,M
400,2013,2,10,601,600,1,824,837,-13,DL,461,N3766,LGA,ATL,116,762,6,0,2/10/13 6:00,6,M
401,2013,2,10,613,615,-2,833,842,-9,DL,575,N346NB,EWR,ATL,113,746,6,15,2/10/13 6:00,6,M
402,2013,2,10,618,615,3,849,855,-6,9E,3856,N146PQ,JFK,ATL,109,760,6,15,2/10/13 6:00,6,M
440,2013,2,11,556,600,-4,834,825,9,MQ,4650,N513MQ,LGA,ATL,125,762,6,0,2/11/13 6:00,6,M
441,2013,2,11,558,600,-2,838,837,1,DL,461,N395DN,LGA,ATL,126,762,6,0,2/11/13 6:00,6,M
442,2013,2,11,614,615,-1,914,842,32,DL,575,N343NB,EWR,ATL,149,746,6,15,2/11/13 6:00,6,M
443,2013,2,11,615,615,0,858,855,3,9E,3856,N146PQ,JFK,ATL,125,760,6,15,2/11/13 6:00,6,M
444,2013,2,11,620,600,20,912,815,57,FL,345,N988AT,LGA,ATL,138,762,6,0,2/11/13 6:00,6,M
445,2013,2,11,625,630,-5,905,904,1,DL,2057,N671DN,LGA,ATL,130,762,6,30,2/11/13 6:00,6,M
446,2013,2,11,656,659,-3,938,938,0,DL,1547,N661DN,LGA,ATL,125,762,6,59,2/11/13 6:00,6,M
489,2013,2,12,557,600,-3,836,837,-1,DL,461,N387DA,LGA,ATL,129,762,6,0,2/12/13 6:00,6,M
490,2013,2,12,558,600,-2,832,815,17,FL,345,N967AT,LGA,ATL,126,762,6,0,2/12/13 6:00,6,M
491,2013,2,12,610,615,-5,859,855,4,9E,3856,N200PQ,JFK,ATL,126,760,6,15,2/12/13 6:00,6,M
492,2013,2,12,611,615,-4,841,842,-1,DL,575,N355NB,EWR,ATL,126,746,6,15,2/12/13 6:00,6,M
493,2013,2,12,628,600,28,906,825,41,MQ,4650,N512MQ,LGA,ATL,125,762,6,0,2/12/13 6:00,6,M
494,2013,2,12,655,659,-4,944,938,6,DL,1547,N633DL,LGA,ATL,125,762,6,59,2/12/13 6:00,6,M
536,2013,2,13,552,600,-8,831,825,6,MQ,4650,N530MQ,LGA,ATL,142,762,6,0,2/13/13 6:00,6,M
537,2013,2,13,600,600,0,855,815,40,FL,345,N932AT,LGA,ATL,146,762,6,0,2/13/13 6:00,6,M
538,2013,2,13,600,600,0,853,837,16,DL,461,N3765,LGA,ATL,145,762,6,0,2/13/13 6:00,6,M
539,2013,2,13,613,615,-2,908,842,26,DL,575,N346NB,EWR,ATL,144,746,6,15,2/13/13 6:00,6,M
540,2013,2,13,614,615,-1,910,855,15,9E,3856,N200PQ,JFK,ATL,139,760,6,15,2/13/13 6:00,6,M
541,2013,2,13,658,659,-1,959,938,21,DL,1547,N661DN,LGA,ATL,141,762,6,59,2/13/13 6:00,6,M
583,2013,2,14,554,600,-6,826,825,1,MQ,4650,N542MQ,LGA,ATL,126,762,6,0,2/14/13 6:00,6,M
584,2013,2,14,557,600,-3,828,837,-9,DL,461,N3747D,LGA,ATL,118,762,6,0,2/14/13 6:00,6,M
585,2013,2,14,600,600,0,853,815,38,FL,345,N998AT,LGA,ATL,123,762,6,0,2/14/13 6:00,6,M
586,2013,2,14,613,615,-2,835,842,-7,DL,575,N355NB,EWR,ATL,121,746,6,15,2/14/13 6:00,6,M
587,2013,2,14,631,615,16,908,855,13,9E,3856,N146PQ,JFK,ATL,120,760,6,15,2/14/13 6:00,6,M
588,2013,2,14,654,659,-5,952,938,14,DL,1547,N663DN,LGA,ATL,116,762,6,59,2/14/13 6:00,6,M
631,2013,2,15,553,600,-7,814,825,-11,MQ,4650,N516MQ,LGA,ATL,118,762,6,0,2/15/13 6:00,6,M
632,2013,2,15,559,600,-1,817,837,-20,DL,461,N664DN,LGA,ATL,116,762,6,0,2/15/13 6:00,6,M
633,2013,2,15,600,600,0,829,815,14,FL,345,N924AT,LGA,ATL,122,762,6,0,2/15/13 6:00,6,M
634,2013,2,15,610,615,-5,857,855,2,9E,3623,N176PQ,JFK,ATL,116,760,6,15,2/15/13 6:00,6,M
635,2013,2,15,614,615,-1,846,842,4,DL,575,N357NB,EWR,ATL,118,746,6,15,2/15/13 6:00,6,M
636,2013,2,15,657,659,-2,935,938,-3,DL,1547,N383DN,LGA,ATL,119,762,6,59,2/15/13 6:00,6,M
680,2013,2,16,610,615,-5,856,842,14,DL,575,N346NB,EWR,ATL,124,746,6,15,2/16/13 6:00,6,M
681,2013,2,16,611,615,-4,844,855,-11,9E,3623,N232PQ,JFK,ATL,122,760,6,15,2/16/13 6:00,6,M
682,2013,2,16,613,600,13,855,837,18,DL,461,N662DN,LGA,ATL,127,762,6,0,2/16/13 6:00,6,M
683,2013,2,16,618,600,18,907,815,52,FL,345,N974AT,LGA,ATL,130,762,6,0,2/16/13 6:00,6,M
684,2013,2,16,651,653,-2,928,930,-2,EV,3838,N18556,EWR,ATL,129,746,6,53,2/16/13 6:00,6,M
716,2013,2,17,608,615,-7,817,842,-25,DL,575,N346NB,EWR,ATL,106,746,6,15,2/17/13 6:00,6,M
717,2013,2,17,612,615,-3,827,855,-28,9E,3623,N170PQ,JFK,ATL,104,760,6,15,2/17/13 6:00,6,M
752,2013,2,18,555,600,-5,804,825,-21,MQ,4650,N528MQ,LGA,ATL,106,762,6,0,2/18/13 6:00,6,M
753,2013,2,18,600,600,0,811,815,-4,FL,345,N935AT,LGA,ATL,108,762,6,0,2/18/13 6:00,6,M
754,2013,2,18,610,615,-5,831,842,-11,DL,575,N302NB,EWR,ATL,106,746,6,15,2/18/13 6:00,6,M
755,2013,2,18,623,600,23,848,837,11,DL,461,N671DN,LGA,ATL,108,762,6,0,2/18/13 6:00,6,M
757,2013,2,18,717,615,62,924,855,29,9E,3623,N146PQ,JFK,ATL,106,760,6,15,2/18/13 6:00,6,M
761,2013,2,18,831,659,92,1113,938,95,DL,1547,N667DN,LGA,ATL,111,762,6,59,2/18/13 6:00,6,M
801,2013,2,19,555,600,-5,842,837,5,DL,461,N673DL,LGA,ATL,122,762,6,0,2/19/13 6:00,6,M
802,2013,2,19,558,600,-2,902,825,37,MQ,4650,N539MQ,LGA,ATL,130,762,6,0,2/19/13 6:00,6,M
803,2013,2,19,604,600,4,858,815,43,FL,345,N906AT,LGA,ATL,132,762,6,0,2/19/13 6:00,6,M
804,2013,2,19,613,615,-2,844,855,-11,9E,3623,N146PQ,JFK,ATL,125,760,6,15,2/19/13 6:00,6,M
805,2013,2,19,615,615,0,835,842,-7,DL,575,N371NB,EWR,ATL,115,746,6,15,2/19/13 6:00,6,M
806,2013,2,19,656,659,-3,939,938,1,DL,1547,N616DL,LGA,ATL,128,762,6,59,2/19/13 6:00,6,M
849,2013,2,20,549,600,-11,800,825,-25,MQ,4650,N527MQ,LGA,ATL,113,762,6,0,2/20/13 6:00,6,M
850,2013,2,20,557,600,-3,813,815,-2,FL,345,N953AT,LGA,ATL,118,762,6,0,2/20/13 6:00,6,M
851,2013,2,20,608,600,8,837,837,0,DL,461,N673DL,LGA,ATL,114,762,6,0,2/20/13 6:00,6,M
852,2013,2,20,612,615,-3,840,842,-2,DL,575,N369NB,EWR,ATL,113,746,6,15,2/20/13 6:00,6,M
853,2013,2,20,612,615,-3,840,855,-15,9E,3623,N232PQ,JFK,ATL,121,760,6,15,2/20/13 6:00,6,M
854,2013,2,20,652,659,-7,906,938,-32,DL,1547,N602DL,LGA,ATL,111,762,6,59,2/20/13 6:00,6,M
897,2013,2,21,554,600,-6,823,815,8,FL,345,N930AT,LGA,ATL,119,762,6,0,2/21/13 6:00,6,M
898,2013,2,21,554,600,-6,828,825,3,MQ,4650,N528MQ,LGA,ATL,119,762,6,0,2/21/13 6:00,6,M
899,2013,2,21,558,600,-2,836,837,-1,DL,461,N646DL,LGA,ATL,120,762,6,0,2/21/13 6:00,6,M
900,2013,2,21,610,615,-5,841,842,-1,DL,575,N346NB,EWR,ATL,120,746,6,15,2/21/13 6:00,6,M
901,2013,2,21,611,615,-4,852,855,-3,9E,3623,N200PQ,JFK,ATL,116,760,6,15,2/21/13 6:00,6,M
902,2013,2,21,655,659,-4,934,938,-4,DL,1547,N671DN,LGA,ATL,117,762,6,59,2/21/13 6:00,6,M
946,2013,2,22,553,600,-7,820,825,-5,MQ,4650,N3AEMQ,LGA,ATL,127,762,6,0,2/22/13 6:00,6,M
947,2013,2,22,558,600,-2,855,837,18,DL,461,N609DL,LGA,ATL,134,762,6,0,2/22/13 6:00,6,M
948,2013,2,22,602,600,2,842,815,27,FL,345,N991AT,LGA,ATL,134,762,6,0,2/22/13 6:00,6,M
949,2013,2,22,613,615,-2,853,855,-2,9E,3623,N153PQ,JFK,ATL,130,760,6,15,2/22/13 6:00,6,M
950,2013,2,22,617,615,2,847,842,5,DL,575,N358NB,EWR,ATL,127,746,6,15,2/22/13 6:00,6,M
951,2013,2,22,654,659,-5,952,938,14,DL,1547,N636DL,LGA,ATL,129,762,6,59,2/22/13 6:00,6,M
994,2013,2,23,556,600,-4,846,837,9,DL,461,N900PC,LGA,ATL,141,762,6,0,2/23/13 6:00,6,M
995,2013,2,23,559,600,-1,841,815,26,FL,345,N955AT,LGA,ATL,141,762,6,0,2/23/13 6:00,6,M
996,2013,2,23,611,615,-4,849,842,7,DL,575,N341NB,EWR,ATL,140,746,6,15,2/23/13 6:00,6,M
997,2013,2,23,612,615,-3,918,855,23,9E,3623,N228PQ,JFK,ATL,141,760,6,15,2/23/13 6:00,6,M
998,2013,2,23,653,653,0,954,930,24,EV,3838,N14953,EWR,ATL,145,746,6,53,2/23/13 6:00,6,M
1030,2013,2,24,557,600,-3,830,837,-7,DL,461,N618DL,LGA,ATL,116,762,6,0,2/24/13 6:00,6,M
1031,2013,2,24,609,615,-6,835,855,-20,9E,3623,N162PQ,JFK,ATL,113,760,6,15,2/24/13 6:00,6,M
1032,2013,2,24,706,659,7,933,938,-5,DL,1547,N666DN,LGA,ATL,115,762,6,59,2/24/13 6:00,6,M
1069,2013,2,24,1921,615,786,2135,842,773,DL,575,N348NW,EWR,ATL,111,746,6,15,2/24/13 6:00,6,M
1073,2013,2,25,553,600,-7,806,815,-9,FL,345,N919AT,LGA,ATL,117,762,6,0,2/25/13 6:00,6,M
1074,2013,2,25,554,600,-6,848,837,11,DL,461,N680DA,LGA,ATL,133,762,6,0,2/25/13 6:00,6,M
1075,2013,2,25,555,600,-5,821,825,-4,MQ,4650,N507MQ,LGA,ATL,121,762,6,0,2/25/13 6:00,6,M
1076,2013,2,25,613,615,-2,905,855,10,9E,3623,N200PQ,JFK,ATL,130,760,6,15,2/25/13 6:00,6,M
1077,2013,2,25,627,630,-3,911,906,5,DL,2057,N912DE,LGA,ATL,130,762,6,30,2/25/13 6:00,6,M
1078,2013,2,25,628,615,13,858,842,16,DL,575,N343NB,EWR,ATL,129,746,6,15,2/25/13 6:00,6,M
1079,2013,2,25,656,659,-3,954,938,16,DL,1547,N609DL,LGA,ATL,131,762,6,59,2/25/13 6:00,6,M
1123,2013,2,26,554,600,-6,843,837,6,DL,461,N662DN,LGA,ATL,132,762,6,0,2/26/13 6:00,6,M
1124,2013,2,26,555,600,-5,855,825,30,MQ,4650,N501MQ,LGA,ATL,139,762,6,0,2/26/13 6:00,6,M
1125,2013,2,26,610,600,10,911,815,56,FL,345,N955AT,LGA,ATL,132,762,6,0,2/26/13 6:00,6,M
1126,2013,2,26,612,615,-3,901,842,19,DL,575,N357NB,EWR,ATL,136,746,6,15,2/26/13 6:00,6,M
1127,2013,2,26,613,615,-2,911,855,16,9E,3623,N228PQ,JFK,ATL,136,760,6,15,2/26/13 6:00,6,M
1128,2013,2,26,654,659,-5,1002,938,24,DL,1547,N633DL,LGA,ATL,133,762,6,59,2/26/13 6:00,6,M
1171,2013,2,27,546,600,-14,816,825,-9,MQ,4650,N527MQ,LGA,ATL,123,762,6,0,2/27/13 6:00,6,M
1172,2013,2,27,554,600,-6,835,837,-2,DL,461,N612DL,LGA,ATL,123,762,6,0,2/27/13 6:00,6,M
1173,2013,2,27,602,600,2,842,815,27,FL,345,N936AT,LGA,ATL,128,762,6,0,2/27/13 6:00,6,M
1174,2013,2,27,610,615,-5,841,842,-1,DL,575,N319US,EWR,ATL,121,746,6,15,2/27/13 6:00,6,M
1175,2013,2,27,613,615,-2,915,855,20,9E,3623,N200PQ,JFK,ATL,122,760,6,15,2/27/13 6:00,6,M
1176,2013,2,27,656,659,-3,933,938,-5,DL,1547,N692DL,LGA,ATL,119,762,6,59,2/27/13 6:00,6,M
1219,2013,2,28,551,600,-9,808,825,-17,MQ,4650,N8EGMQ,LGA,ATL,115,762,6,0,2/28/13 6:00,6,M
1220,2013,2,28,601,600,1,816,837,-21,DL,461,N612DL,LGA,ATL,115,762,6,0,2/28/13 6:00,6,M
1221,2013,2,28,604,600,4,828,815,13,FL,345,N937AT,LGA,ATL,113,762,6,0,2/28/13 6:00,6,M
1222,2013,2,28,612,615,-3,840,855,-15,9E,3623,N176PQ,JFK,ATL,118,760,6,15,2/28/13 6:00,6,M
1223,2013,2,28,613,615,-2,833,842,-9,DL,575,N342NB,EWR,ATL,116,746,6,15,2/28/13 6:00,6,M
1224,2013,2,28,652,659,-7,918,938,-20,DL,1547,N666DN,LGA,ATL,113,762,6,59,2/28/13 6:00,6,M
7,2013,2,1,725,730,-5,941,1004,-23,DL,807,N324NB,EWR,ATL,120,746,7,30,2/1/13 7:00,7,M
8,2013,2,1,755,759,-4,1027,1039,-12,DL,2047,N664DN,LGA,ATL,122,762,7,59,2/1/13 7:00,7,M
54,2013,2,2,730,730,0,955,1004,-9,DL,807,N361NB,EWR,ATL,114,746,7,30,2/2/13 7:00,7,M
132,2013,2,4,727,730,-3,945,1004,-19,DL,807,N336NB,EWR,ATL,120,746,7,30,2/4/13 7:00,7,M
133,2013,2,4,758,759,-1,1049,1039,10,DL,2047,N609DL,LGA,ATL,116,762,7,59,2/4/13 7:00,7,M
180,2013,2,5,731,730,1,1007,1004,3,DL,807,N348NB,EWR,ATL,113,746,7,30,2/5/13 7:00,7,M
181,2013,2,5,754,759,-5,1036,1039,-3,DL,2047,N627DL,LGA,ATL,120,762,7,59,2/5/13 7:00,7,M
227,2013,2,6,728,730,-2,1011,1004,7,DL,807,N342NB,EWR,ATL,107,746,7,30,2/6/13 7:00,7,M
228,2013,2,6,755,759,-4,1022,1039,-17,DL,2047,N645DL,LGA,ATL,111,762,7,59,2/6/13 7:00,7,M
274,2013,2,7,726,730,-4,953,1004,-11,DL,807,N338NB,EWR,ATL,124,746,7,30,2/7/13 7:00,7,M
275,2013,2,7,758,759,-1,1035,1039,-4,DL,2047,N675DL,LGA,ATL,123,762,7,59,2/7/13 7:00,7,M
321,2013,2,8,730,730,0,1005,1004,1,DL,807,N358NB,EWR,ATL,114,746,7,30,2/8/13 7:00,7,M
322,2013,2,8,758,759,-1,1042,1039,3,DL,2047,N663DN,LGA,ATL,110,762,7,59,2/8/13 7:00,7,M
395,2013,2,9,NA,730,NA,NA,1004,NA,DL,807,N355NB,EWR,ATL,NA,746,7,30,2/9/13 7:00,7,M
447,2013,2,11,728,730,-2,1016,1004,12,DL,807,N302NB,EWR,ATL,124,746,7,30,2/11/13 7:00,7,M
448,2013,2,11,754,759,-5,1029,1039,-10,DL,2047,N697DL,LGA,ATL,129,762,7,59,2/11/13 7:00,7,M
495,2013,2,12,726,730,-4,950,1004,-14,DL,807,N342NB,EWR,ATL,123,746,7,30,2/12/13 7:00,7,M
496,2013,2,12,758,759,-1,1033,1039,-6,DL,2047,N686DA,LGA,ATL,119,762,7,59,2/12/13 7:00,7,M
542,2013,2,13,729,730,-1,1018,1004,14,DL,807,N368NB,EWR,ATL,135,746,7,30,2/13/13 7:00,7,M
543,2013,2,13,753,759,-6,1042,1039,3,DL,2047,N662DN,LGA,ATL,138,762,7,59,2/13/13 7:00,7,M
589,2013,2,14,702,705,-3,943,942,1,EV,3838,N15986,EWR,ATL,127,746,7,5,2/14/13 7:00,7,M
590,2013,2,14,755,759,-4,1019,1039,-20,DL,2047,N676DL,LGA,ATL,116,762,7,59,2/14/13 7:00,7,M
598,2013,2,14,958,730,148,1227,1004,143,DL,807,N340NB,EWR,ATL,118,746,7,30,2/14/13 7:00,7,M
637,2013,2,15,707,705,2,936,942,-6,EV,3838,N15980,EWR,ATL,124,746,7,5,2/15/13 7:00,7,M
638,2013,2,15,727,730,-3,940,1004,-24,DL,807,N316NB,EWR,ATL,118,746,7,30,2/15/13 7:00,7,M
639,2013,2,15,756,759,-3,1014,1039,-25,DL,2047,N663DN,LGA,ATL,118,762,7,59,2/15/13 7:00,7,M
685,2013,2,16,729,730,-1,951,1004,-13,DL,807,N338NB,EWR,ATL,124,746,7,30,2/16/13 7:00,7,M
688,2013,2,16,834,759,35,1117,1038,39,DL,2047,N616DL,LGA,ATL,119,762,7,59,2/16/13 7:00,7,M
718,2013,2,17,655,700,-5,901,933,-32,FL,346,N946AT,LGA,ATL,107,762,7,0,2/17/13 7:00,7,M
719,2013,2,17,656,700,-4,918,939,-21,DL,1547,N686DA,LGA,ATL,109,762,7,0,2/17/13 7:00,7,M
756,2013,2,18,700,705,-5,932,942,-10,EV,3838,N12564,EWR,ATL,112,746,7,5,2/18/13 7:00,7,M
758,2013,2,18,801,759,2,1020,1039,-19,DL,2047,N602DL,LGA,ATL,109,762,7,59,2/18/13 7:00,7,M
769,2013,2,18,1058,730,208,1311,1004,187,DL,807,N338NB,EWR,ATL,111,746,7,30,2/18/13 7:00,7,M
807,2013,2,19,707,705,2,948,942,6,EV,3838,N16999,EWR,ATL,135,746,7,5,2/19/13 7:00,7,M
808,2013,2,19,727,730,-3,950,1004,-14,DL,807,N358NB,EWR,ATL,121,746,7,30,2/19/13 7:00,7,M
809,2013,2,19,754,759,-5,1033,1039,-6,DL,2047,N667DN,LGA,ATL,123,762,7,59,2/19/13 7:00,7,M
855,2013,2,20,727,730,-3,939,1004,-25,DL,807,N368NB,EWR,ATL,113,746,7,30,2/20/13 7:00,7,M
856,2013,2,20,746,705,41,1032,942,50,EV,3838,N14907,EWR,ATL,117,746,7,5,2/20/13 7:00,7,M
857,2013,2,20,747,759,-12,1006,1039,-33,DL,2047,N339NB,LGA,ATL,118,762,7,59,2/20/13 7:00,7,M
903,2013,2,21,725,730,-5,945,1004,-19,DL,807,N358NB,EWR,ATL,119,746,7,30,2/21/13 7:00,7,M
904,2013,2,21,729,705,24,1015,942,33,EV,3838,N12564,EWR,ATL,122,746,7,5,2/21/13 7:00,7,M
905,2013,2,21,754,759,-5,1027,1039,-12,DL,2047,N666DN,LGA,ATL,118,762,7,59,2/21/13 7:00,7,M
952,2013,2,22,700,705,-5,947,942,5,EV,3838,N14920,EWR,ATL,132,746,7,5,2/22/13 7:00,7,M
953,2013,2,22,732,730,2,955,1004,-9,DL,807,N341NB,EWR,ATL,125,746,7,30,2/22/13 7:00,7,M
954,2013,2,22,802,759,3,1057,1039,18,DL,2047,N666DN,LGA,ATL,148,762,7,59,2/22/13 7:00,7,M
999,2013,2,23,720,730,-10,959,1004,-5,DL,807,N338NB,EWR,ATL,135,746,7,30,2/23/13 7:00,7,M
1001,2013,2,23,758,759,-1,1039,1038,1,DL,2047,N679DA,LGA,ATL,129,762,7,59,2/23/13 7:00,7,M
1033,2013,2,24,714,700,14,932,933,-1,FL,346,N893AT,LGA,ATL,118,762,7,0,2/24/13 7:00,7,M
1034,2013,2,24,755,759,-4,1012,1039,-27,DL,2047,N680DA,LGA,ATL,115,762,7,59,2/24/13 7:00,7,M
1080,2013,2,25,701,705,-4,1014,942,32,EV,3838,N12540,EWR,ATL,148,746,7,5,2/25/13 7:00,7,M
1081,2013,2,25,753,759,-6,1049,1039,10,DL,2047,N664DN,LGA,ATL,129,762,7,59,2/25/13 7:00,7,M
1122,2013,2,25,NA,730,NA,NA,1004,NA,DL,807,N348NW,EWR,ATL,NA,746,7,30,2/25/13 7:00,7,M
1129,2013,2,26,703,705,-2,952,942,10,EV,3838,N22909,EWR,ATL,139,746,7,5,2/26/13 7:00,7,M
1130,2013,2,26,728,730,-2,1022,1004,18,DL,807,N324NB,EWR,ATL,130,746,7,30,2/26/13 7:00,7,M
1131,2013,2,26,753,759,-6,1052,1039,13,DL,2047,N664DN,LGA,ATL,141,762,7,59,2/26/13 7:00,7,M
1177,2013,2,27,701,705,-4,935,942,-7,EV,3838,N12924,EWR,ATL,127,746,7,5,2/27/13 7:00,7,M
1178,2013,2,27,731,730,1,951,1004,-13,DL,807,N338NB,EWR,ATL,119,746,7,30,2/27/13 7:00,7,M
1179,2013,2,27,756,759,-3,1030,1039,-9,DL,2047,N664DN,LGA,ATL,116,762,7,59,2/27/13 7:00,7,M
1225,2013,2,28,705,705,0,941,942,-1,EV,3838,N13958,EWR,ATL,126,746,7,5,2/28/13 7:00,7,M
1226,2013,2,28,727,730,-3,940,1004,-24,DL,807,N301NB,EWR,ATL,114,746,7,30,2/28/13 7:00,7,M
1232,2013,2,28,919,759,80,1144,1039,65,DL,2047,N664DN,LGA,ATL,115,762,7,59,2/28/13 7:00,7,M
9,2013,2,1,805,810,-5,1034,1044,-10,FL,346,N966AT,LGA,ATL,126,762,8,10,2/1/13 8:00,8,M
